 TIME , SCORE 
 61.59199905395508 , 1.0 
 122.03600311279297 , 0.0 
 183.3280029296875 , 0.0 
 244.82699584960938 , 0.0 
 306.2200012207031 , 0.0 
 366.38800048828125 , 1.0 
 426.84698486328125 , 0.0 
 487.8739929199219 , 0.0 
 548.8590087890625 , 0.0 
 609.801025390625 , 0.0 
 670.56298828125 , 0.0 
 731.0139770507812 , 0.0 
 792.2130126953125 , 0.0 
 852.2930297851562 , 0.0 
 912.572021484375 , 0.0 
 974.6220092773438 , 0.0 
 1035.7060546875 , 0.0 
 1097.6259765625 , 1.0 
 1158.592041015625 , 0.0 
 1219.3470458984375 , 0.0 
 1280.1070556640625 , 0.0 
 1340.9150390625 , 0.0 
 1401.5169677734375 , 0.0 
 1462.4549560546875 , 0.0 
 1523.1419677734375 , 0.0 
 1583.626953125 , 0.0 
 1644.27294921875 , 0.0 
 1704.781005859375 , 0.0 
 1765.2139892578125 , 0.0 
 1825.9599609375 , 0.0 
 1886.6939697265625 , 0.0 
 1948.2459716796875 , 0.0 
 2009.0169677734375 , 0.0 
 2069.638916015625 , 0.0 
 2130.382080078125 , 0.0 
 2191.0458984375 , 0.0 
 2251.64599609375 , 0.0 
 2311.970947265625 , 0.0 
 2372.3720703125 , 0.0 
 2432.806884765625 , 0.0 
 2494.60791015625 , 0.0 
 2555.6259765625 , 0.0 
 2617.300048828125 , 0.0 
 2677.922119140625 , 0.0 
 2738.508056640625 , 0.0 
 2800.909912109375 , 0.0 
 2862.636962890625 , 0.0 
 2924.030029296875 , 0.0 
 2986.794921875 , 0.0 
 3048.10205078125 , 0.0 
 3109.73291015625 , 0.0 
 3170.261962890625 , 0.0 
 3230.99609375 , 0.0 
 3291.423095703125 , 0.0 
 3351.840087890625 , 0.0 
 3412.799072265625 , 0.0 
 3473.52392578125 , 0.0 
 3534.114990234375 , 0.0 
 3595.31396484375 , 0.0 
 3656.291015625 , 0.0 
 3717.013916015625 , 0.0 
 3777.863037109375 , 1.0 
 3838.591064453125 , 1.0 
 3899.824951171875 , 1.0 
 3960.98388671875 , 0.0 
 4021.735107421875 , 0.0 
 4082.580078125 , 0.0 
 4143.2041015625 , 0.0 
 4203.69580078125 , 0.0 
 4264.38720703125 , 0.0 
 4325.02001953125 , 0.0 
 4385.31982421875 , 0.0 
 4445.56689453125 , 0.0 
 4505.8837890625 , 0.0 
 4566.17578125 , 1.0 
 4626.43798828125 , 0.0 
 4686.54296875 , 0.0 
 4747.02587890625 , 0.0 
 4807.52587890625 , 0.0 
 4868.240234375 , 0.0 
 4928.5400390625 , 0.0 
 4989.865234375 , 0.0 
 5050.23486328125 , 0.0 
 5112.15087890625 , 0.0 
 5174.52099609375 , 0.0 
 5235.6650390625 , 0.0 
 5296.65185546875 , 0.0 
 5357.30712890625 , 0.0 
 5417.2919921875 , 0.0 
 5477.3408203125 , 0.0 
 5537.3310546875 , 0.0 
 5597.1279296875 , 0.0 
 5656.97998046875 , 0.0 
 5716.97119140625 , 0.0 
 5776.869140625 , 0.0 
 5836.796875 , 0.0 
 5897.2470703125 , 0.0 
 5963.0419921875 , 0.0 
 6023.44580078125 , 0.0 
 6084.0029296875 , 0.0 
 6144.4921875 , 0.0 
 6204.7587890625 , 0.0 
 6265.080078125 , 0.0 
 6325.51220703125 , 0.0 
 6385.97314453125 , 0.0 
 6447.091796875 , 0.0 
 6509.18798828125 , 0.0 
 6571.36083984375 , 0.0 
 6633.669921875 , 0.0 
 6695.30908203125 , 0.0 
 6757.30810546875 , 0.0 
 6819.2021484375 , 0.0 
 6880.27392578125 , 0.0 
 6941.02587890625 , 0.0 
 7001.7431640625 , 0.0 
 7062.537109375 , 0.0 
 7123.30908203125 , 0.0 
 7184.35302734375 , 0.0 
 7245.294921875 , 0.0 
 7306.0439453125 , 0.0 
 7366.6689453125 , 0.0 
 7427.7978515625 , 0.0 
 7488.15087890625 , 0.0 
 7548.51416015625 , 0.0 
 7608.77197265625 , 0.0 
 7669.05419921875 , 0.0 
 7729.1767578125 , 0.0 
